NAME	LIGHT-YEARS FROM EARTH	PLANET MASS	STELLAR MAGNITUDE	DISCOVERY DATE
HD 59686 A b	291	6.92 Jupiters	5.44299	2016
HD 60532 b	85	1.06 Jupiters	4.44	2008
HD 60532 c	85	2.51 Jupiters	4.44	2008
HD 62509 b	34	2.3 Jupiters	1.12512	2006
HD 66141 b	222	6 Jupiters	4.37821	2012
HD 69830 b	41	10.2 Earths	5.96004	2006
HD 69830 c	41	11.8 Earths	5.96004	2006
HD 69830 d	41	18.1 Earths	5.96004	2006
HD 81688 b	280	2.7 Jupiters	5.39755	2007
HD 81817 b	878	27.1 Jupiters	4.26489	2020
HD 89744 b	126	8.35 Jupiters	5.73469	1999
HIP 105854 b	257	8.2 Jupiters	5.64	2014
HIP 107773 b	343	1.98 Jupiters	5.62	2015
HIP 79098 AB b	476	20.5 Jupiters	5.86	2019
HN Pegasi b	59	21.9987 Jupiters	5.97707	2006
HR 810 b	56	2.27 Jupiters	5.4	1999
HR 8799 b	135	7 Jupiters	5.98	2008
HR 8799 c	135	10 Jupiters	5.98	2008
HR 8799 d	135	10 Jupiters	5.98	2008
HR 8799 e	135	10 Jupiters	5.98	2010
Iota Draconis b	102	8.82 Jupiters	3.29668	2002
Kappa Andromedae b	163	13.616 Jupiters	4.13791	2012
Kappa Coronae Borealis b	98	2 Jupiters	4.79734	2007
KMT-2016-BLG-0212L b	20551	18 Jupiters		2018
KMT-2016-BLG-1107L b	21696	3.283 Jupiters		2019
KMT-2016-BLG-1397L b	21529	7 Jupiters		2018
KMT-2016-BLG-1820L b	20420	4.57 Jupiters		2018
KMT-2016-BLG-1836L b	23160	2.2 Jupiters		2019
KMT-2016-BLG-2142L b	22867	15.49 Jupiters		2018
KMT-2016-BLG-2364L b	21007	3.93 Jupiters		2020
KMT-2016-BLG-2397L b	15919	2.63 Jupiters		2020
KMT-2017-BLG-1038L b	19572	2 Jupiters		2019
KMT-2017-BLG-1146L b	21203	0.71 Jupiters		2019
KMT-2018-BLG-0029L b	11026	7.59 Earths		2020
KMT-2018-BLG-0748L b	23813	0.19 Jupiters		2020
KMT-2018-BLG-1292L b	11287	4.42 Jupiters		2020
KMT-2018-BLG-1990L b	3154	0.348 Jupiters		2019
KMT-2019-BLG-0842L b	10830	10.28 Earths		2020
KMT-2019-BLG-1339L b	19963	1.25 Jupiters		2020
KMT-2019-BLG-1953L b	22964	0.64 Jupiters		2020
MOA-2007-BLG-192L b	3262	3.3 Earths		2008
MOA-2007-BLG-400L b	18920	0.83 Jupiters		2008
MOA-2008-BLG-379L b	10765	4.1 Jupiters		2013
MOA-2009-BLG-266L b	9916	10.4 Earths		2011
MOA-2009-BLG-319L b	22997	0.212 Jupiters		2010
MOA-2009-BLG-387L b	18561	2.6 Jupiters		2010
MOA-2010-BLG-073L b	9134	11 Jupiters		2012
MOA-2010-BLG-353L b	20975	0.27 Jupiters		2015
MOA-2010-BLG-477L b	7503	1.5 Jupiters		2012
MOA-2011-BLG-028L b	24074	30 Earths		2016
MOA-2011-BLG-262L b	23486	17 Earths		2014
MOA-2011-BLG-291L b	14353	18 Earths		2018
MOA-2011-BLG-293L b	25183	4.8 Jupiters		2012
MOA-2011-BLG-322L b	24661	11.6 Jupiters		2013
MOA-2012-BLG-006L b	17289	8.4 Jupiters		2017
MOA-2012-BLG-505L b	23519	6.7 Earths		2017
MOA-2013-BLG-220L b	21921	2.74 Jupiters		2014
MOA-2013-BLG-605L b	2773	3.24 Earths		2016
MOA-2015-BLG-337L b	23160	33.7 Earths		2018
MOA-2016-BLG-227L b	21203	2.8 Jupiters		2017
MOA-2016-BLG-319L b	22182	0.62 Jupiters		2018
Mu Leonis b	106	2.4 Jupiters	3.86648	2014
MXB 1658-298 b		23.7 Jupiters		2017
Nu Ophiuchi b	151	22.206 Jupiters	3.31216	2012
Nu Ophiuchi c	151	24.662 Jupiters	3.31216	2012
OGLE-2005-BLG-390L b	21529	5.5 Earths		2005
OGLE-2006-BLG-109L b	4926	0.727 Jupiters		2008
OGLE-2006-BLG-109L c	4926	0.27 Jupiters		2008
OGLE-2008-BLG-092L b	26422	0.18 Jupiters		2014
OGLE-2008-BLG-355L b	22182	4.6 Jupiters		2014
OGLE-2011-BLG-0173L b	19898	0.19 Jupiters		2018
OGLE-2011-BLG-0251L b	8383	0.53 Jupiters		2012
OGLE-2011-BLG-0265L b	14288	0.88 Jupiters		2015
OGLE-2012-BLG-0358L b	5741	1.85 Jupiters		2013
OGLE-2012-BLG-0406L b	16212	2.73 Jupiters		2013
OGLE-2012-BLG-0563L b	4241	0.39 Jupiters		2015
OGLE-2012-BLG-0724L b	21855	0.47 Jupiters		2016
OGLE-2012-BLG-0838L b	20616	0.167 Jupiters		2020
OGLE-2012-BLG-0950L b	8481	35 Earths		2016
OGLE-2013-BLG-0102L b	9916	13 Jupiters		2014
OGLE-2013-BLG-0132L b	12722	0.29 Jupiters		2017
OGLE-2013-BLG-0341L B b	2972	1.66 Earths		2014
OGLE-2013-BLG-1721L b	20551	0.64 Jupiters		2017
OGLE-2013-BLG-1761L b	22508	2.7 Jupiters		2018
OGLE-2014-BLG-0124L b	13374	0.51 Jupiters		2015
OGLE-2014-BLG-0676L b	7242	3.09 Jupiters		2016
OGLE-2014-BLG-1722L b	20877	0.174 Jupiters		2018
OGLE-2014-BLG-1722L c	20877	0.263 Jupiters		2018
OGLE-2015-BLG-0051L b	26748	0.72 Jupiters		2016
OGLE-2015-BLG-0966L b	10765	21 Earths		2016
OGLE-2015-BLG-1649L b	13798	2.54 Jupiters		2019
OGLE-2015-BLG-1670L b	21855	17.9 Earths		2019
OGLE-2015-BLG-1771L b	23062	0.433 Jupiters		2020
OGLE-2016-BLG-0263L b	21203	4.1 Jupiters		2017
OGLE-2016-BLG-0613L AB b	11123	4.18 Jupiters		2017
OGLE-2016-BLG-1067L b	12167	0.43 Jupiters		2019
OGLE-2016-BLG-1190L b	22084	13.38 Jupiters		2017
OGLE-2016-BLG-1195L b	12754	1.43 Earths		2017
OGLE-2016-BLG-1227L b		0.79 Jupiters		2020
OGLE-2017-BLG-0173L b	15348	3.269 Earths		2018
OGLE-2017-BLG-0373L b	19295	0.401 Jupiters		2018
OGLE-2017-BLG-0482L b	18920	9 Earths		2018
OGLE-2017-BLG-0604L b	12885	0.51 Jupiters		2020
OGLE-2017-BLG-1049L b	18496	5.53 Jupiters		2020
OGLE-2017-BLG-1140L b		1.59 Jupiters		2018
OGLE-2017-BLG-1375L b	12820	11.28 Jupiters		2020
OGLE-2017-BLG-1434L b	2805	4.5 Earths		2018
OGLE-2017-BLG-1522L b	24432	0.75 Jupiters		2018
OGLE-2018-BLG-0596L b	18430	13.93 Earths		2019
OGLE-2018-BLG-0677L b	24726	3.96 Earths		2020
OGLE-2018-BLG-1011L b	23160	1.8 Jupiters		2019
OGLE-2018-BLG-1011L c	23160	2.8 Jupiters		2019
OGLE-2018-BLG-1428L b	20290	0.77 Jupiters		2021
Omega Serpentis b	250	1.7 Jupiters	5.21644	2013
Omicron Coronae Borealis b	277	1.5 Jupiters	5.5052	2012
Omicron Ursae Majoris b	179	4.1 Jupiters	3.35214	2012
Pi Mensae c	60	4.82 Earths	5.65	2018
Psi 1 Draconis B b	74	1.53 Jupiters	5.808	2015
PSR B1257+12 b	1957	0.02 Earths		1994
PSR B1257+12 c	1957	4.3 Earths		1992
PSR B1257+12 d	1957	3.9 Earths		1992
PSR B1620-26 b		2.5 Jupiters		2003
PSR J1719-1438 b	3914	1.2 Jupiters		2011
PSR J2322-2650 b	750	0.7949 Jupiters		2017
Rho Coronae Borealis b	57	1.0449 Jupiters	5.40816	1997
Rho Coronae Borealis c	57	25 Earths	5.40816	2016
Tau Bootis b	51	5.95 Jupiters	4.48635	1996
Tau Ceti e	12	3.93 Earths	3.49607	2017
Tau Ceti f	12	3.93 Earths	3.49607	2017
Tau Ceti g	12	1.75 Earths	3.49607	2017
Tau Ceti h	12	1.83 Earths	3.49607	2017
Tau Geminorum b	367	20.6 Jupiters	4.37799	2013
UKIRT-2017-BLG-001L b	20551	1.28 Jupiters		2018
Upsilon Andromedae b	44	0.6876 Jupiters	4.09565	1996
Upsilon Andromedae c	44	1.981 Jupiters	4.09565	1999
Upsilon Andromedae d	44	4.132 Jupiters	4.09565	1999
WISEP J121756.91+162640.2 A b	33	22 Jupiters		2012
Xi Aquilae b	183	2.8 Jupiters	4.70964	2007
