total_bill,tip,sex,smoker,day,time,size,date
22.23,5.0,Male,No,sun,Dinner,2,2021-03-24
,,Male,No,sun,Dinner,4,2021-03-01
28.55,2.05,Male,,sun,Dinner,3,2021-03-10
18.04,3.0,Male,No,sun,Dinner,2,2021-03-24
,,Male,No,sun,Dinner,2,2021-03-18
10.29,2.6,Female,,sun,Dinner,2,2021-03-14
,,Female,No,sun,Dinner,4,2021-03-03
9.94,1.56,Male,No,sun,Dinner,2,2021-03-20
25.56,4.34,Male,,sun,Dinner,4,2021-03-10
19.49,3.51,Male,No,sun,Dinner,2,2021-03-22
38.01,3.0,Male,Yes,Sat,Dinner,4,2021-03-01
26.41,1.5,Female,No,Sat,Dinner,2,2021-03-12
,,Male,Yes,Sat,Dinner,2,2021-03-22
48.27,6.73,Male,,Sat,Dinner,4,2021-03-12
20.29,3.21,Male,Yes,Sat,Dinner,2,2021-03-01
13.81,2.0,Male,Yes,Sat,Dinner,2,2021-03-03
11.02,1.98,Male,Yes,Sat,Dinner,2,2021-03-09
18.29,3.76,Male,Yes,Sat,Dinner,4,2021-03-23
,,Male,No,Sat,Dinner,3,2021-03-25
20.08,3.15,Male,No,Sat,Dinner,3,2021-03-08
16.45,2.47,Female,,Sat,Dinner,2,2021-03-08
3.07,1.0,Female,Yes,Sat,Dinner,1,2021-03-07
20.23,2.01,Male,No,Sat,Dinner,2,2021-03-08
15.01,2.09,Male,Yes,Sat,Dinner,2,2021-03-23
,,Male,No,Sat,Dinner,2,2021-03-02
17.07,3.0,Female,No,Sat,Dinner,3,2021-03-16
26.86,3.14,Female,Yes,Sat,Dinner,2,2021-03-12
,,Female,Yes,Sat,Dinner,2,2021-03-02
14.73,2.2,Female,No,Sat,Dinner,2,2021-03-20
10.51,1.25,Male,,Sat,Dinner,2,2021-03-07
,,Male,Yes,Sat,Dinner,2,2021-03-01
27.2,4.0,Male,No,Thur,Lunch,4,2021-03-23
22.76,3.0,Male,No,Thur,Lunch,2,2021-03-15
,,Male,,Thur,Lunch,2,2021-03-10
19.44,3.0,Male,Yes,Thur,Lunch,2,2021-03-03
16.66,3.4,Male,No,Thur,Lunch,2,2021-03-05
,,Female,No,Thur,Lunch,1,2021-03-18
32.68,5.0,Male,Yes,Thur,Lunch,2,2021-03-10
15.98,2.03,Male,,Thur,Lunch,2,2021-03-03
34.83,5.17,Female,No,Thur,Lunch,4,2021-03-15
13.03,2.0,Male,No,Thur,Lunch,2,2021-03-04
18.28,4.0,Male,,Thur,Lunch,2,2021-03-02
24.71,5.85,Male,No,Thur,Lunch,2,2021-03-19
,,Male,No,Thur,Lunch,2,2021-03-13
28.97,3.0,Male,Yes,Fri,Dinner,2,2021-03-25
22.49,3.5,Male,,Fri,Dinner,2,2021-03-09
5.75,1.0,Female,Yes,Fri,Dinner,2,2021-03-08
16.32,4.3,Female,Yes,Fri,Dinner,2,2021-03-15
22.75,3.25,Female,No,Fri,Dinner,2,2021-03-14
40.17,4.73,Male,,Fri,Dinner,4,2021-03-05
27.28,4.0,Male,,Fri,Dinner,2,2021-03-17
12.03,1.5,Male,,Fri,Dinner,2,2021-03-21
21.01,3.0,Male,Yes,Fri,Dinner,2,2021-03-25
12.46,1.5,Male,,Fri,Dinner,2,2021-03-07
11.35,2.5,Female,Yes,Fri,Dinner,2,2021-03-18
,,Female,Yes,Fri,Dinner,2,2021-03-05
44.3,2.5,Female,Yes,Sat,Dinner,3,2021-03-14
22.42,3.48,Female,Yes,Sat,Dinner,2,2021-03-02
20.92,4.08,Female,No,Sat,Dinner,2,2021-03-05
,,Male,,Sat,Dinner,2,2021-03-25
,,Male,,Sat,Dinner,2,2021-03-14
25.21,4.29,Male,,Sat,Dinner,2,2021-03-06
,,Male,No,Sat,Dinner,2,2021-03-07
,,Female,,Sat,Dinner,2,2021-03-15
14.0,3.0,Male,No,Sat,Dinner,2,2021-03-22
7.25,1.0,Female,No,Sat,Dinner,1,2021-03-19
38.07,4.0,Male,No,sun,Dinner,3,2021-03-16
23.95,2.55,Male,,sun,Dinner,2,2021-03-23
,,Female,No,sun,Dinner,3,2021-03-09
17.31,3.5,Female,No,sun,Dinner,2,2021-03-22
,,Male,No,sun,Dinner,4,2021-03-10
,,Female,No,Thur,Lunch,2,2021-03-16
12.43,1.8,Female,,Thur,Lunch,2,2021-03-10
24.08,2.92,Female,,Thur,Lunch,4,2021-03-16
11.69,2.31,Male,No,Thur,Lunch,2,2021-03-06
13.42,1.68,Female,No,Thur,Lunch,2,2021-03-09
14.26,2.5,Male,No,Thur,Lunch,2,2021-03-24
15.95,2.0,Male,,Thur,Lunch,2,2021-03-07
12.48,2.52,Female,No,Thur,Lunch,2,2021-03-02
29.8,4.2,Female,No,Thur,Lunch,6,2021-03-01
8.52,1.48,Male,No,Thur,Lunch,2,2021-03-02
14.52,2.0,Female,No,Thur,Lunch,2,2021-03-13
11.38,2.0,Female,No,Thur,Lunch,2,2021-03-25
22.82,2.18,Male,No,Thur,Lunch,3,2021-03-17
,,Male,No,Thur,Lunch,2,2021-03-21
,,Female,,Thur,Lunch,2,2021-03-07
11.17,1.5,Female,No,Thur,Lunch,2,2021-03-25
12.26,2.0,Female,No,Thur,Lunch,2,2021-03-01
18.26,3.25,Female,No,Thur,Lunch,2,2021-03-12
8.51,1.25,Female,No,Thur,Lunch,2,2021-03-19
10.33,2.0,Female,No,Thur,Lunch,2,2021-03-23
14.15,2.0,Female,No,Thur,Lunch,2,2021-03-11
16.0,2.0,Male,Yes,Thur,Lunch,2,2021-03-02
13.16,2.75,Female,No,Thur,Lunch,2,2021-03-17
17.47,3.5,Female,No,Thur,Lunch,2,2021-03-23
34.3,6.7,Male,,Thur,Lunch,6,2021-03-15
41.19,5.0,Male,No,Thur,Lunch,5,2021-03-05
27.05,5.0,Female,No,Thur,Lunch,6,2021-03-18
16.43,2.3,Female,No,Thur,Lunch,2,2021-03-23
8.35,1.5,Female,No,Thur,Lunch,2,2021-03-06
,,Female,No,Thur,Lunch,3,2021-03-09
11.87,1.63,Female,No,Thur,Lunch,2,2021-03-16
9.78,1.73,Male,,Thur,Lunch,2,2021-03-06
7.51,2.0,Male,No,Thur,Lunch,2,2021-03-15
14.07,2.5,Male,No,sun,Dinner,2,2021-03-13
13.13,2.0,Male,,sun,Dinner,2,2021-03-24
17.26,2.74,Male,No,sun,Dinner,3,2021-03-21
24.55,2.0,Male,No,sun,Dinner,4,2021-03-08
19.77,2.0,Male,No,sun,Dinner,4,2021-03-13
29.85,5.14,Female,No,sun,Dinner,5,2021-03-25
48.17,5.0,Male,No,sun,Dinner,6,2021-03-08
25.0,3.75,Female,No,sun,Dinner,4,2021-03-10
13.39,2.61,Female,,sun,Dinner,2,2021-03-15
16.49,2.0,Male,No,sun,Dinner,4,2021-03-21
21.5,3.5,Male,No,sun,Dinner,4,2021-03-07
,,Male,No,sun,Dinner,2,2021-03-11
16.21,2.0,Female,,sun,Dinner,3,2021-03-09
13.81,2.0,Male,No,sun,Dinner,2,2021-03-22
17.51,3.0,Female,Yes,sun,Dinner,2,2021-03-23
24.52,3.48,Male,No,sun,Dinner,3,2021-03-01
20.76,2.24,Male,No,sun,Dinner,2,2021-03-01
31.71,4.5,Male,No,sun,Dinner,4,2021-03-24
10.59,1.61,Female,Yes,Sat,Dinner,2,2021-03-06
10.63,2.0,Female,Yes,Sat,Dinner,2,2021-03-12
50.81,10.0,Male,,Sat,Dinner,3,2021-03-09
15.81,3.16,Male,Yes,Sat,Dinner,2,2021-03-20
7.25,5.15,Male,Yes,sun,Dinner,2,2021-03-14
31.85,3.18,Male,,sun,Dinner,2,2021-03-07
16.82,4.0,Male,Yes,sun,Dinner,2,2021-03-13
32.9,3.11,Male,Yes,sun,Dinner,2,2021-03-07
17.89,2.0,Male,,sun,Dinner,2,2021-03-04
,,Male,Yes,sun,Dinner,2,2021-03-23
9.6,4.0,Female,Yes,sun,Dinner,2,2021-03-08
34.63,3.55,Male,Yes,sun,Dinner,2,2021-03-12
34.65,3.68,Male,Yes,sun,Dinner,4,2021-03-18
,,Male,Yes,sun,Dinner,2,2021-03-03
45.35,3.5,Male,Yes,sun,Dinner,3,2021-03-05
23.17,6.5,Male,Yes,sun,Dinner,4,2021-03-22
,,Male,,sun,Dinner,2,2021-03-05
,,Male,No,sun,Dinner,5,2021-03-25
,,Female,Yes,sun,Dinner,3,2021-03-09
30.46,2.0,Male,Yes,sun,Dinner,5,2021-03-05
18.15,3.5,Female,Yes,sun,Dinner,3,2021-03-04
23.1,4.0,Male,Yes,sun,Dinner,3,2021-03-24
15.69,1.5,Male,,sun,Dinner,2,2021-03-07
19.81,4.19,Female,,Thur,Lunch,2,2021-03-15
28.44,2.56,Male,Yes,Thur,Lunch,2,2021-03-03
15.48,2.02,Male,Yes,Thur,Lunch,2,2021-03-05
16.58,4.0,Male,Yes,Thur,Lunch,2,2021-03-07
7.56,1.44,Male,,Thur,Lunch,2,2021-03-10
10.34,2.0,Male,Yes,Thur,Lunch,2,2021-03-18
43.11,5.0,Female,Yes,Thur,Lunch,4,2021-03-11
13.0,2.0,Female,Yes,Thur,Lunch,2,2021-03-05
13.51,2.0,Male,,Thur,Lunch,2,2021-03-02
18.71,4.0,Male,Yes,Thur,Lunch,3,2021-03-08
12.74,2.01,Female,,Thur,Lunch,2,2021-03-15
13.0,2.0,Female,Yes,Thur,Lunch,2,2021-03-14
16.4,2.5,Female,Yes,Thur,Lunch,2,2021-03-16
20.53,4.0,Male,,Thur,Lunch,4,2021-03-03
,,Female,Yes,Thur,Lunch,3,2021-03-05
26.59,3.41,Male,Yes,Sat,Dinner,3,2021-03-09
38.73,3.0,Male,,Sat,Dinner,4,2021-03-10
,,Male,Yes,Sat,Dinner,2,2021-03-23
12.76,2.23,Female,Yes,Sat,Dinner,2,2021-03-17
,,Male,Yes,Sat,Dinner,3,2021-03-13
25.89,5.16,Male,,Sat,Dinner,4,2021-03-25
48.33,9.0,Male,No,Sat,Dinner,4,2021-03-11
13.27,2.5,Female,Yes,Sat,Dinner,2,2021-03-18
28.17,6.5,Female,,Sat,Dinner,3,2021-03-22
12.9,1.1,Female,Yes,Sat,Dinner,2,2021-03-05
28.15,3.0,Male,,Sat,Dinner,5,2021-03-04
11.59,1.5,Male,Yes,Sat,Dinner,2,2021-03-06
7.74,1.44,Male,,Sat,Dinner,2,2021-03-20
30.14,3.09,Female,Yes,Sat,Dinner,4,2021-03-10
12.16,2.2,Male,Yes,Fri,Lunch,2,2021-03-18
13.42,3.48,Female,Yes,Fri,Lunch,2,2021-03-21
8.58,1.92,Male,Yes,Fri,Lunch,1,2021-03-22
15.98,3.0,Female,No,Fri,Lunch,3,2021-03-01
13.42,1.58,Male,Yes,Fri,Lunch,2,2021-03-07
16.27,2.5,Female,,Fri,Lunch,2,2021-03-14
10.09,2.0,Female,Yes,Fri,Lunch,2,2021-03-18
20.45,3.0,Male,No,Sat,Dinner,4,2021-03-15
13.28,2.72,Male,,Sat,Dinner,2,2021-03-19
22.12,2.88,Female,Yes,Sat,Dinner,2,2021-03-01
,,Male,Yes,Sat,Dinner,4,2021-03-02
,,Male,Yes,Sat,Dinner,3,2021-03-05
11.61,3.39,Male,No,Sat,Dinner,2,2021-03-11
,,Male,No,Sat,Dinner,2,2021-03-19
,,Male,Yes,Sat,Dinner,2,2021-03-15
10.07,1.25,Male,No,Sat,Dinner,2,2021-03-01
12.6,1.0,Male,Yes,Sat,Dinner,2,2021-03-20
,,Male,Yes,Sat,Dinner,2,2021-03-08
35.83,4.67,Female,,Sat,Dinner,3,2021-03-02
29.03,5.92,Male,No,Sat,Dinner,3,2021-03-23
,,Female,Yes,Sat,Dinner,2,2021-03-20
,,Male,Yes,Sat,Dinner,2,2021-03-12
17.82,1.75,Male,No,Sat,Dinner,2,2021-03-11
18.78,3.0,Female,No,Thur,Dinner,2,2021-03-03
